,시도,시구군,읍면동,지번,아파트명,전체주소,전용면적,층,건축년도,거래년도,거래월,거래금액,위도,경도
14,강원도,강릉시,교동 ,357,교동 이편한세상아파트,강원도 강릉시 교동 357 교동 이편한세상아파트,123.76,4,2006,2017,11,289773415.95278466,37.7707,128.8954
15,강원도,강릉시,교동 ,357,교동 이편한세상아파트,강원도 강릉시 교동 357 교동 이편한세상아파트,123.76,12,2006,2017,11,304533813.98614156,37.7707,128.8954
16,강원도,강릉시,교동 ,707-53,삼정아파트,강원도 강릉시 교동 707-53 삼정아파트,84.82,1,1990,2017,11,87633813.49318647,37.7664,128.8904
17,강원도,강릉시,교동 ,853-14,현대그린아파트,강원도 강릉시 교동 853-14 현대그린아파트,84.86,3,1992,2017,11,91666047.53988743,37.7611,128.8883
18,강원도,강릉시,내곡동 ,136,삼익타워맨션아파트,강원도 강릉시 내곡동 136 삼익타워맨션아파트,84.86,10,1993,2017,11,129495006.69777429,37.742,128.8907
19,강원도,강릉시,내곡동 ,136,삼익타워맨션아파트,강원도 강릉시 내곡동 136 삼익타워맨션아파트,129.41,10,1993,2017,11,148408505.7814232,37.742,128.8907
20,강원도,강릉시,내곡동 ,476,한라아파트,강원도 강릉시 내곡동 476 한라아파트,59.97,14,1997,2017,11,125179617.27390301,37.7442,128.881
21,강원도,강릉시,내곡동 ,476,한라아파트,강원도 강릉시 내곡동 476 한라아파트,59.97,17,1997,2017,11,124667164.506446,37.7442,128.881
22,강원도,강릉시,내곡동 ,476,한라아파트,강원도 강릉시 내곡동 476 한라아파트,84.95,11,1997,2017,11,163549787.9645766,37.7442,128.881
23,강원도,강릉시,내곡동 ,616,제2차강부임대주택,강원도 강릉시 내곡동 616 제2차강부임대주택,24.8,4,1988,2017,11,42626265.56297064,37.7408,128.8774
24,강원도,강릉시,내곡동 ,623,내곡주공아파트,강원도 강릉시 내곡동 623 내곡주공아파트,39.3,3,1989,2017,11,60938156.0616765,37.7412,128.879
25,강원도,강릉시,내곡동 ,623,내곡주공아파트,강원도 강릉시 내곡동 623 내곡주공아파트,39.69,5,1989,2017,11,61729900.54454851,37.7412,128.879
26,강원도,강릉시,내곡동 ,75-1,관동2차아파트,강원도 강릉시 내곡동 75-1 관동2차아파트,49.94,3,1992,2017,11,61432588.127512455,37.7456,128.8898
27,강원도,강릉시,노암동 ,390,노암한라1차아파트,강원도 강릉시 노암동 390 노암한라1차아파트,136.42,12,1994,2017,11,156895293.9744655,37.7447,128.9019
28,강원도,강릉시,노암동 ,711,신화아파트,강원도 강릉시 노암동 711 신화아파트,84.95,10,1998,2017,11,157913973.91100395,37.7483,128.8979
29,강원도,강릉시,노암동 ,711,신화아파트,강원도 강릉시 노암동 711 신화아파트,84.95,8,1998,2017,11,157187036.8866316,37.7483,128.8979
30,강원도,강릉시,노암동 ,835,노암2주공아파트,강원도 강릉시 노암동 835 노암2주공아파트,59.3,2,1984,2017,11,63921602.76985884,37.7452,128.9054
31,강원도,강릉시,노암동 ,844,양우내안애아파트,강원도 강릉시 노암동 844 양우내안애아파트,59.69,12,2009,2017,11,159750700.39006197,37.7517,128.9035
32,강원도,강릉시,노암동 ,844,양우내안애아파트,강원도 강릉시 노암동 844 양우내안애아파트,84.44,6,2009,2017,11,203263113.2799574,37.7517,128.9035
33,강원도,강릉시,송정동 ,1061,경포대신도브래뉴로얄카운티아파트,강원도 강릉시 송정동 1061 경포대신도브래뉴로얄카운티아파트,155.84,2,2007,2017,11,336514173.3867272,37.7785,128.9341
34,강원도,강릉시,송정동 ,39-10,삼익비치맨션,강원도 강릉시 송정동 39-10 삼익비치맨션,84.54,2,1992,2017,11,118685443.3768543,37.7788,128.9331
35,강원도,강릉시,송정동 ,940,삼우은성맨션아파트,강원도 강릉시 송정동 940 삼우은성맨션아파트,72.86,4,1992,2017,11,121780688.41839445,37.7703,128.9212
36,강원도,강릉시,송정동 ,940,삼우은성맨션아파트,강원도 강릉시 송정동 940 삼우은성맨션아파트,72.86,1,1992,2017,11,112856810.73190749,37.7703,128.9212
37,강원도,강릉시,송정동 ,940,삼우은성맨션아파트,강원도 강릉시 송정동 940 삼우은성맨션아파트,84.96,12,1992,2017,11,150481936.2174536,37.7703,128.9212
38,강원도,강릉시,송정동 ,940-23,대림맨션아파트,강원도 강릉시 송정동 940-23 대림맨션아파트,84.99,8,1991,2017,11,146564095.71842158,37.7695,128.9206
39,강원도,강릉시,송정동 ,940-23,대림맨션아파트,강원도 강릉시 송정동 940-23 대림맨션아파트,135.38,6,1991,2017,11,167221228.90260875,37.7695,128.9206
40,강원도,강릉시,입암동 ,210,이안강릉타운아파트,강원도 강릉시 입암동 210 이안강릉타운아파트,122.72,9,2006,2017,11,251467629.904796,37.7558,128.9205
41,강원도,강릉시,입암동 ,210,이안강릉타운아파트,강원도 강릉시 입암동 210 이안강릉타운아파트,122.72,8,2006,2017,11,250150033.76709664,37.7558,128.9205
42,강원도,강릉시,입암동 ,321,금호어울림아파트,강원도 강릉시 입암동 321 금호어울림아파트,123.65,4,2007,2017,11,272358441.72590184,37.7536,128.9189
43,강원도,강릉시,입암동 ,321,금호어울림아파트,강원도 강릉시 입암동 321 금호어울림아파트,123.09,11,2007,2017,11,283946343.35239565,37.7536,128.9189
44,강원도,강릉시,입암동 ,321,금호어울림아파트,강원도 강릉시 입암동 321 금호어울림아파트,157.22,5,2007,2017,11,302189621.05026925,37.7536,128.9189
45,강원도,강릉시,입암동 ,440,입암현대아파트,강원도 강릉시 입암동 440 입암현대아파트,59.96,10,1998,2017,11,129839557.84721506,37.7529,128.9117
46,강원도,강릉시,입암동 ,440,입암현대아파트,강원도 강릉시 입암동 440 입암현대아파트,59.96,14,1998,2017,11,129507224.61683452,37.7529,128.9117
47,강원도,강릉시,입암동 ,440,입암현대아파트,강원도 강릉시 입암동 440 입암현대아파트,84.9,14,1998,2017,11,169878538.81907475,37.7529,128.9117
48,강원도,강릉시,입암동 ,49,입암2단지주공아파트,강원도 강릉시 입암동 49 입암2단지주공아파트,39.69,4,1990,2017,11,57131851.458600044,37.7639,128.9154
49,강원도,강릉시,입암동 ,49,입암2단지주공아파트,강원도 강릉시 입암동 49 입암2단지주공아파트,39.69,5,1990,2017,11,57288351.62947416,37.7639,128.9154
50,강원도,강릉시,입암동 ,506-5,태평양아파트,강원도 강릉시 입암동 506-5 태평양아파트,34.72,12,1998,2017,11,56304269.69046545,37.7564,128.9128
51,강원도,강릉시,입암동 ,506-5,태평양아파트,강원도 강릉시 입암동 506-5 태평양아파트,39.35,6,1998,2017,11,64924930.118365765,37.7564,128.9128
52,강원도,강릉시,입암동 ,506-9,대인3차아파트,강원도 강릉시 입암동 506-9 대인3차아파트,59.69,14,1993,2017,11,88333967.3226738,37.7565,128.9121
53,강원도,강릉시,입암동 ,506-9,대인3차아파트,강원도 강릉시 입암동 506-9 대인3차아파트,59.69,4,1993,2017,11,87772409.60128498,37.7565,128.9121
54,강원도,강릉시,입암동 ,641,입암1주공아파트,강원도 강릉시 입암동 641 입암1주공아파트,39.72,2,1986,2017,11,57781092.43205118,37.7548,128.9078
55,강원도,강릉시,입암동 ,641,입암1주공아파트,강원도 강릉시 입암동 641 입암1주공아파트,39.72,4,1986,2017,11,57667865.272836685,37.7548,128.9078
56,강원도,강릉시,입암동 ,685,입암4주공아파트,강원도 강릉시 입암동 685 입암4주공아파트,59.8,6,1996,2017,11,116099691.39206803,37.760999999999996,128.9155
57,강원도,강릉시,입암동 ,685,입암4주공아파트,강원도 강릉시 입암동 685 입암4주공아파트,39.99,3,1996,2017,11,74649343.94070005,37.760999999999996,128.9155
58,강원도,강릉시,입암동 ,709-1,입암6주공아파트,강원도 강릉시 입암동 709-1 입암6주공아파트,49.62,8,1998,2017,11,101053491.7377348,37.7587,128.9188
59,강원도,강릉시,입암동 ,709-1,입암6주공아파트,강원도 강릉시 입암동 709-1 입암6주공아파트,49.62,11,1998,2017,11,101205763.75046158,37.7587,128.9188
60,강원도,강릉시,입암동 ,709-1,입암6주공아파트,강원도 강릉시 입암동 709-1 입암6주공아파트,59.99,6,1998,2017,11,124799986.99169505,37.7587,128.9188
61,강원도,강릉시,저동 ,4-4,경포현대아파트,강원도 강릉시 저동 4-4 경포현대아파트,59.79,5,1996,2017,11,123200722.62210476,37.8021,128.8996
62,강원도,강릉시,저동 ,4-4,경포현대아파트,강원도 강릉시 저동 4-4 경포현대아파트,59.79,1,1996,2017,11,113391847.69581354,37.8021,128.8996
63,강원도,강릉시,지변동 ,334,덕원아파트,강원도 강릉시 지변동 334 덕원아파트,59.96,4,1998,2017,11,82910435.96780872,37.7781,128.8731
64,강원도,강릉시,지변동 ,334,덕원아파트,강원도 강릉시 지변동 334 덕원아파트,33.47,3,1998,2017,11,49213910.914786816,37.7781,128.8731
65,강원도,강릉시,지변동 ,334,덕원아파트,강원도 강릉시 지변동 334 덕원아파트,33.47,8,1998,2017,11,49930948.21715212,37.7781,128.8731
66,강원도,강릉시,초당동 ,128,초당현대아파트,강원도 강릉시 초당동 128 초당현대아파트,124.28,9,1995,2017,11,182666719.77453506,37.7838,128.9181
67,강원도,강릉시,초당동 ,128,초당현대아파트,강원도 강릉시 초당동 128 초당현대아파트,84.48,6,1995,2017,11,138899582.2260462,37.7838,128.9181
68,강원도,강릉시,초당동 ,128,초당현대아파트,강원도 강릉시 초당동 128 초당현대아파트,59.88,2,1995,2017,11,99843888.59106064,37.7838,128.9181
69,강원도,강릉시,초당동 ,135-1,이화해변아파트,강원도 강릉시 초당동 135-1 이화해변아파트,29.82,1,1988,2017,11,39371196.14346123,37.7839,128.9162
70,강원도,강릉시,초당동 ,143,초당우성아파트,강원도 강릉시 초당동 143 초당우성아파트,59.91,3,1997,2017,11,130256381.34126389,37.783,128.914
71,강원도,강릉시,초당동 ,143,초당우성아파트,강원도 강릉시 초당동 143 초당우성아파트,59.91,1,1997,2017,11,123494083.89825141,37.783,128.914
72,강원도,강릉시,초당동 ,143,초당우성아파트,강원도 강릉시 초당동 143 초당우성아파트,59.91,17,1997,2017,11,135049231.87895906,37.783,128.914
73,강원도,강릉시,초당동 ,149-1,초당동부아파트,강원도 강릉시 초당동 149-1 초당동부아파트,59.84,7,1997,2017,11,135535440.90619123,37.784,128.9139
74,강원도,강릉시,초당동 ,181,초당유화2차아파트,강원도 강릉시 초당동 181 초당유화2차아파트,78.17,6,1994,2017,11,123020107.36993515,37.7855,128.9142
75,강원도,강릉시,초당동 ,182-2,초당유화1차아파트,강원도 강릉시 초당동 182-2 초당유화1차아파트,49.82,1,1993,2017,11,79749931.49224281,37.7861,128.9136
76,강원도,강릉시,초당동 ,554,초당동청마루아파트,강원도 강릉시 초당동 554 초당동청마루아파트,116.63,3,2007,2017,11,260089281.7628826,37.7829,128.9153
77,강원도,강릉시,포남동 ,1065,포남1주공아파트,강원도 강릉시 포남동 1065 포남1주공아파트,41.98,4,1981,2017,11,63369988.5100441,37.7752,128.9091
78,강원도,강릉시,포남동 ,1065,포남1주공아파트,강원도 강릉시 포남동 1065 포남1주공아파트,41.98,2,1981,2017,11,63963680.23335266,37.7752,128.9091
79,강원도,강릉시,포남동 ,1065,포남1주공아파트,강원도 강릉시 포남동 1065 포남1주공아파트,42.55,4,1982,2017,11,64287032.27263403,37.7752,128.9091
80,강원도,강릉시,포남동 ,1108,강릉5차아파트,강원도 강릉시 포남동 1108 강릉5차아파트,59.8,2,1988,2017,11,81930436.38839054,37.7677,128.9042
81,강원도,강릉시,포남동 ,1110-9,,강원도 강릉시 포남동 1110-9 ,23.76,3,1986,2017,11,26864829.21844864,37.7669,128.9039
82,강원도,강릉시,포남동 ,1200,포남동2주공아파트,강원도 강릉시 포남동 1200 포남동2주공아파트,39.3,4,1989,2017,11,67003900.89955473,37.781,128.9158
83,강원도,강릉시,포남동 ,1241-6,미진2차맨션아파트,강원도 강릉시 포남동 1241-6 미진2차맨션아파트,82.5,6,1990,2017,11,127687469.08978856,37.7704,128.9103
84,강원도,강릉시,포남동 ,1293-1,일송아파트,강원도 강릉시 포남동 1293-1 일송아파트,58.87,13,1995,2017,11,119859821.59220445,37.7717,128.9148
85,강원도,강릉시,포남동 ,1293-1,일송아파트,강원도 강릉시 포남동 1293-1 일송아파트,59.14,3,1995,2017,11,115963413.48102272,37.7717,128.9148
86,강원도,강릉시,포남동 ,1293-1,일송아파트,강원도 강릉시 포남동 1293-1 일송아파트,59.14,2,1995,2017,11,113457704.9039222,37.7717,128.9148
87,강원도,강릉시,포남동 ,1293-2,청송아파트,강원도 강릉시 포남동 1293-2 청송아파트,84.42,2,1994,2017,11,148720747.97067606,37.7712,128.9134
88,강원도,강릉시,포남동 ,1293-2,청송아파트,강원도 강릉시 포남동 1293-2 청송아파트,84.42,11,1994,2017,11,161767560.98605216,37.7712,128.9134
89,강원도,강릉시,포남동 ,436-1,정아새솔아파트,강원도 강릉시 포남동 436-1 정아새솔아파트,59.84,5,1993,2017,11,92764406.38771963,37.7763,128.9126
90,강원도,강릉시,홍제동 ,1037,우미린아파트,강원도 강릉시 홍제동 1037 우미린아파트,84.99,15,2016,2017,11,267793714.90011108,37.756,128.8683
91,강원도,강릉시,홍제동 ,1055,홍제한신휴플러스아파트,강원도 강릉시 홍제동 1055 홍제한신휴플러스아파트,59.96,15,2015,2017,11,194090211.6584481,37.7501,128.8833
92,강원도,강릉시,홍제동 ,122,홍제동우산아파트,강원도 강릉시 홍제동 122 홍제동우산아파트,82.67,2,1997,2017,11,100030802.34088421,37.7511,128.8835
93,강원도,강릉시,연곡면 영진리,12,부영사랑으로아파트,강원도 강릉시 연곡면 영진리 12 부영사랑으로아파트,59.99,1,2005,2017,11,94587179.94489145,37.8696,128.8418
94,강원도,강릉시,연곡면 영진리,305-2,삼우그린아파트,강원도 강릉시 연곡면 영진리 305-2 삼우그린아파트,43.2,14,1999,2017,11,71452593.9439125,37.8678,128.8387
95,강원도,강릉시,연곡면 영진리,305-2,삼우그린아파트,강원도 강릉시 연곡면 영진리 305-2 삼우그린아파트,30.24,12,1999,2017,11,49805940.534547806,37.8678,128.8387
96,강원도,강릉시,연곡면 영진리,305-2,삼우그린아파트,강원도 강릉시 연곡면 영진리 305-2 삼우그린아파트,43.2,2,1999,2017,11,68213270.768538,37.8678,128.8387
97,강원도,강릉시,연곡면 영진리,305-2,삼우그린아파트,강원도 강릉시 연곡면 영진리 305-2 삼우그린아파트,30.24,13,1999,2017,11,49810956.004901886,37.8678,128.8387
98,강원도,강릉시,연곡면 영진리,305-2,삼우그린아파트,강원도 강릉시 연곡면 영진리 305-2 삼우그린아파트,43.2,11,1999,2017,11,71879842.03477287,37.8678,128.8387
99,강원도,강릉시,주문진읍 교항리,1256,주문진교항주공2단지,강원도 강릉시 주문진읍 교항리 1256 주문진교항주공2단지,49.85,9,2000,2017,11,96550765.74822521,37.8747,128.8283
100,강원도,강릉시,주문진읍 교항리,1256,주문진교항주공2단지,강원도 강릉시 주문진읍 교항리 1256 주문진교항주공2단지,49.85,11,2000,2017,11,96447686.16856432,37.8747,128.8283
101,강원도,강릉시,주문진읍 교항리,1256,주문진교항주공2단지,강원도 강릉시 주문진읍 교항리 1256 주문진교항주공2단지,49.85,13,2000,2017,11,96207730.90377522,37.8747,128.8283
102,강원도,고성군,간성읍 신안리,111,하얀어린이집,강원도 고성군 간성읍 신안리 111 하얀어린이집,39.36,6,1998,2017,11,60579491.611937046,38.3793,128.4791
103,강원도,고성군,간성읍 신안리,111,하얀어린이집,강원도 고성군 간성읍 신안리 111 하얀어린이집,39.36,2,1998,2017,11,58246714.703062534,38.3793,128.4791
104,강원도,고성군,거진읍 거진리,492,뉴빌리지아파트,강원도 고성군 거진읍 거진리 492 뉴빌리지아파트,84.98,2,2009,2017,11,164108765.05150998,38.4458,128.4507
105,강원도,고성군,거진읍 송포리,165,성원오션샹떼빌,강원도 고성군 거진읍 송포리 165 성원오션샹떼빌,70.64,5,2006,2017,11,162263217.75976527,38.4349,128.455
106,강원도,고성군,토성면 청간리,217,클레시움아파트,강원도 고성군 토성면 청간리 217 클레시움아파트,59.52,14,2006,2017,11,121010580.44135225,38.2682,128.5547
107,강원도,동해시,구미동 ,551,유성타워,강원도 동해시 구미동 551 유성타워,69.01,8,1997,2017,11,65741431.196183205,37.4804,129.1281
108,강원도,동해시,동회동 ,442,"대동,현대아파트","강원도 동해시 동회동 442 대동,현대아파트",45.0,1,1995,2017,11,68730622.36750364,37.4873,129.1058
109,강원도,동해시,동회동 ,442,"대동,현대아파트","강원도 동해시 동회동 442 대동,현대아파트",73.47,3,1996,2017,11,125646507.99235857,37.4873,129.1058
110,강원도,동해시,동회동 ,442,"대동,현대아파트","강원도 동해시 동회동 442 대동,현대아파트",84.55,3,1996,2017,11,173255641.63062966,37.4873,129.1058
111,강원도,동해시,동회동 ,90,협성1차 아파트,강원도 동해시 동회동 90 협성1차 아파트,59.6,2,1995,2017,11,62741188.49425697,37.4872,129.1088
112,강원도,동해시,발한동 ,599-1,우석아파트,강원도 동해시 발한동 599-1 우석아파트,32.28,2,1985,2017,11,30737238.88718033,37.5395,129.0998
113,강원도,동해시,발한동 ,599-45,경민아파트,강원도 동해시 발한동 599-45 경민아파트,53.14,1,1990,2017,11,34291224.50785065,37.541,129.0999
114,강원도,동해시,발한동 ,599-5,경민아파트,강원도 동해시 발한동 599-5 경민아파트,64.3,2,1991,2017,11,46487740.33994198,37.5402,129.1006
115,강원도,동해시,부곡동 ,31-2,삼화미성아파트,강원도 동해시 부곡동 31-2 삼화미성아파트,58.83,3,1991,2017,11,52407220.065633774,37.5373,129.1091
116,강원도,동해시,부곡동 ,5-82,일정골든타워,강원도 동해시 부곡동 5-82 일정골든타워,30.27,12,1996,2017,11,29358684.372880936,37.5408,129.1092
117,강원도,동해시,부곡동 ,73-1,동해아파트,강원도 동해시 부곡동 73-1 동해아파트,57.43,4,1981,2017,11,31237240.45788622,37.5373,129.1017
118,강원도,동해시,부곡동 ,80,썬샤인파크,강원도 동해시 부곡동 80 썬샤인파크,77.1,6,2005,2017,11,125793225.08007109,37.5384,129.10299999999998
119,강원도,동해시,부곡동 ,9-2,동성아파트,강원도 동해시 부곡동 9-2 동성아파트,58.66,3,1987,2017,11,41024785.055316925,37.5384,129.1088
120,강원도,동해시,북평동 ,151-5,북평주공2차아파트,강원도 동해시 북평동 151-5 북평주공2차아파트,39.3,4,1989,2017,11,34755330.47387123,37.4808,129.1221
121,강원도,동해시,북평동 ,151-5,북평주공2차아파트,강원도 동해시 북평동 151-5 북평주공2차아파트,39.3,5,1989,2017,11,34625103.20293331,37.4808,129.1221
122,강원도,동해시,송정동 ,1064-2,매화아파트,강원도 동해시 송정동 1064-2 매화아파트,54.42,5,1986,2017,11,33329945.463126183,37.4947,129.124
123,강원도,동해시,이도동 ,172,이도동현대아파트,강원도 동해시 이도동 172 이도동현대아파트,59.97,13,1996,2017,11,99345840.72101593,37.4794,129.1116
124,강원도,동해시,이도동 ,302-6,강변아파트,강원도 동해시 이도동 302-6 강변아파트,59.96,3,1996,2017,11,57802466.500478745,37.4811,129.1099
125,강원도,동해시,이도동 ,302-6,강변아파트,강원도 동해시 이도동 302-6 강변아파트,35.93,1,1996,2017,11,28220930.755000114,37.4811,129.1099
126,강원도,동해시,이로동 ,433-31,동해규수방아파트,강원도 동해시 이로동 433-31 동해규수방아파트,41.94,1,2007,2017,11,20938730.238277912,37.4931,129.0554
127,강원도,동해시,이로동 ,433-31,동해규수방아파트,강원도 동해시 이로동 433-31 동해규수방아파트,41.94,4,2007,2017,11,22224819.30785179,37.4931,129.0554
128,강원도,동해시,이로동 ,433-31,동해규수방아파트,강원도 동해시 이로동 433-31 동해규수방아파트,54.42,2,2007,2017,11,34665664.36143637,37.4931,129.0554
129,강원도,동해시,천곡동 ,1004-1,시영3차아파트,강원도 동해시 천곡동 1004-1 시영3차아파트,49.94,2,1994,2017,11,51149007.680120945,37.5161,129.1074
130,강원도,동해시,천곡동 ,1080,동해천곡주공1차아파트,강원도 동해시 천곡동 1080 동해천곡주공1차아파트,44.78,3,1983,2017,11,53563460.940517426,37.5243,129.1076
131,강원도,동해시,천곡동 ,1080,동해천곡주공1차아파트,강원도 동해시 천곡동 1080 동해천곡주공1차아파트,43.97,3,1983,2017,11,52395410.3825326,37.5243,129.1076
132,강원도,동해시,천곡동 ,1102,동해 금호어울림 아파트,강원도 동해시 천곡동 1102 동해 금호어울림 아파트,84.91,6,2007,2017,11,224085436.22900426,37.528,129.1025
133,강원도,동해시,천곡동 ,415,주공4차아파트,강원도 동해시 천곡동 415 주공4차아파트,46.68,2,1989,2017,11,65613245.10504055,37.5211,129.10399999999998
134,강원도,동해시,천곡동 ,415,주공4차아파트,강원도 동해시 천곡동 415 주공4차아파트,39.99,1,1991,2017,11,54988496.03472614,37.5211,129.10399999999998
135,강원도,동해시,천곡동 ,415,주공4차아파트,강원도 동해시 천곡동 415 주공4차아파트,39.69,3,1989,2017,11,55545534.000854015,37.5211,129.10399999999998
136,강원도,동해시,천곡동 ,788,중앙아파트,강원도 동해시 천곡동 788 중앙아파트,60.53,1,1981,2017,11,75601875.07201624,37.5264,129.1061
137,강원도,동해시,천곡동 ,794,한양아파트,강원도 동해시 천곡동 794 한양아파트,49.81,10,1992,2017,11,77454945.56929207,37.5268,129.1085
138,강원도,동해시,천곡동 ,794,한양아파트,강원도 동해시 천곡동 794 한양아파트,39.1,5,1992,2017,11,45258862.62405825,37.5268,129.1085
139,강원도,동해시,천곡동 ,794,한양아파트,강원도 동해시 천곡동 794 한양아파트,39.1,4,1992,2017,11,45208037.24715614,37.5268,129.1085
140,강원도,동해시,평릉동 ,449,동해하나리움아파트,강원도 동해시 평릉동 449 동해하나리움아파트,59.98,8,2010,2017,11,147115928.67607152,37.533,129.1116
141,강원도,동해시,효가동 ,256,명보1차아파트,강원도 동해시 효가동 256 명보1차아파트,46.25,2,1988,2017,11,36814793.40815973,37.4975,129.1084
142,강원도,동해시,효가동 ,362-34,유존양지아파트,강원도 동해시 효가동 362-34 유존양지아파트,52.41,3,1992,2017,11,28284294.80778742,37.5054,129.1077
143,강원도,삼척시,갈천동 ,184-7,유존양지아파트,강원도 삼척시 갈천동 184-7 유존양지아파트,59.46,5,1992,2017,11,42603141.91186142,37.4666,129.16299999999998
144,강원도,삼척시,갈천동 ,184-7,유존양지아파트,강원도 삼척시 갈천동 184-7 유존양지아파트,59.97,5,1992,2017,11,43197329.35026312,37.4666,129.16299999999998
145,강원도,삼척시,건지동 ,176,코아루플러스아파트,강원도 삼척시 건지동 176 코아루플러스아파트,84.92,4,2015,2017,11,194421742.9967662,37.436,129.1462
146,강원도,삼척시,건지동 ,176,코아루플러스아파트,강원도 삼척시 건지동 176 코아루플러스아파트,84.77,10,2015,2017,11,202353344.86535203,37.436,129.1462
147,강원도,삼척시,교동 ,501-5,동부아파트,강원도 삼척시 교동 501-5 동부아파트,59.83,4,1996,2017,11,86597360.71257353,37.455999999999996,129.1656
148,강원도,삼척시,교동 ,757,청솔2차아파트,강원도 삼척시 교동 757 청솔2차아파트,59.85,5,2003,2017,11,87604945.37893915,37.4491,129.1742
149,강원도,삼척시,남양동 ,348,선창아파트,강원도 삼척시 남양동 348 선창아파트,55.77,3,1986,2017,11,57261699.65329027,37.4431,129.1716
150,강원도,삼척시,정상동 ,316-3,유성아파트,강원도 삼척시 정상동 316-3 유성아파트,39.48,9,1999,2017,11,46526027.04095888,37.4426,129.179
151,강원도,삼척시,정상동 ,316-3,유성아파트,강원도 삼척시 정상동 316-3 유성아파트,48.03,7,1999,2017,11,58079804.51523256,37.4426,129.179
152,강원도,삼척시,정상동 ,454,주공아파트,강원도 삼척시 정상동 454 주공아파트,32.43,3,1988,2017,11,33800291.607378006,37.4411,129.17700000000002
153,강원도,삼척시,정상동 ,454,주공아파트,강원도 삼척시 정상동 454 주공아파트,39.63,3,1988,2017,11,40805678.98415089,37.4411,129.17700000000002
154,강원도,삼척시,정상동 ,457-1,청솔1차아파트,강원도 삼척시 정상동 457-1 청솔1차아파트,59.85,7,2002,2017,11,89043277.30152845,37.4472,129.17600000000002
155,강원도,삼척시,정상동 ,457-3,석미한아름아파트,강원도 삼척시 정상동 457-3 석미한아름아파트,56.97,9,1998,2017,11,77015158.8025465,37.4473,129.1776
156,강원도,삼척시,정상동 ,473,현진에버빌,강원도 삼척시 정상동 473 현진에버빌,85.0,5,2005,2017,11,219531505.7863449,37.445,129.1746
157,강원도,삼척시,정상동 ,473,현진에버빌,강원도 삼척시 정상동 473 현진에버빌,85.0,6,2005,2017,11,221833898.2759813,37.445,129.1746
158,강원도,삼척시,정상동 ,475,경림한아름아파트,강원도 삼척시 정상동 475 경림한아름아파트,59.88,5,2003,2017,11,106343274.78651512,37.4435,129.1753
159,강원도,삼척시,근덕면 교가리,378-1,행남아파트,강원도 삼척시 근덕면 교가리 378-1 행남아파트,36.8,2,1995,2017,11,30934096.098577976,37.3809,129.2277
160,강원도,속초시,교동 ,1029,하우스토리,강원도 속초시 교동 1029 하우스토리,59.51,15,2011,2017,11,196500028.5247382,38.1993,128.5731
161,강원도,속초시,교동 ,783,대명늘푸른아파트,강원도 속초시 교동 783 대명늘푸른아파트,39.84,2,2000,2017,11,91467557.38465357,38.2051,128.5706
